Sensor,For what,Inspired by,Power,Weight,Price,Image,Text,Bodyfilepath
Air flow sensor,Sensing wind,Feathers,5,1,200,airflow_toolbar,"A bird's feathers not only help the bird fly by increasing the surface area for very little extra weight, they also are used to sense gusts in the air. A birds feather is attached at the skin and surrounded by nerve cells which can sense pressure. This means that birds can sense even the slightest change in wind speed and adjust their feathers to stay stable in flight.","seagull_feathers.obj"
Camera,Vision,Eyes,15,1,100,camera_toolbar,This is a normal camera it provides a 2D image of the world. Useful for collecting visual data but has limited use when navigating. Using two cameras would provide enough data to see the world in 3D and help the drone avoid collisions. ,"cube.obj"
Camouflage skin,Stealth,Chameleon,10,0.5,200,camouflage_toolbar,This is an extra layer that provides a camouflage skin. It is a layer of crystal cells that change size; the size of the cell corresponds to the frequency of light that the cell reflects. This is inspired by the colour changing chameleon.,"cube.obj"
Chemical sensor,Finding a chemical source,Ant,10,1,100,chemical_toolbar,"This is a chemical sensor which can detect specific odours. Many animals can easily locate the source of their favourite smells and some even use smell to send messages. For example, ants use chemical messages to mark the way to food and communicate danger. ","cube.obj"
Electrical sensor,Sensing electromagnetic fields,Shark,10,1,200,electrical_toolbar,"This is an electrical sensor to be able to locate objects around the drone by the change in electromagnetic field. A hammerhead shark has lots of electrical sensors in its head called ampullae of Lorenzini, these help it find prey hidden under the sand. Unfortunately, sharks can become quite confused by power lines running under the water as they are mistaken for prey. A drone might find it useful to sense power lines when navigating the city. ","hammerhead_shark.obj"
GPS,Mapping (Localisation),Brain,5,0.5,50,gps_toolbar,This is a Global Positions System (GPS) which is a satellite-based radionavigation system. It will provide geolocation and time information to the drone to aid navigation. The drone would not be able to carry out navigation instructions without it.,"cube.obj"
Soft Robotics Gripper,Hold package/manipulate objects,gripper_toolbar,15,1,50,Robotic Gripper,This is a soft robotics gripper and has been inpsired by an octopus. ,"tentacles.obj"
HD camera,Picture/Video,Hawk,30,2,200,hdcamera_toolbar,"Vision is extremely important to birds, they need to be able to spot prey and navigational landmarks from long distances. As such, birds have the largest eyes compared to their body size in the vertebrate kingdom. Birds of prey, like the hawk, have a very high density of visual reciptors in order to maximimise the visual acuity. A high definition camera works in a similar way using more pixles to record a more detailed image.","cube.obj"
IMU (gyroscopes and accelerometers),Stability and Attitude,Ear canal,5,0.5,50,imu_toolbar,"This is a Inertial Measurement Unit (IMU) which is an electronic device that measures and reports a specific force and angular rate using a combination of accelerometers and gyroscopes. This is used to stabalise the drone, without an IMU the drone would crash.","cube.obj"
Magnetometer,Compass / Orientation wrt North,"Sea turtles, birds",5,0.5,50,magnetometer_toolbar,"This is a Magnetometer which is an instrument that measures electromagnetic fields. This can be used as a compass to orientate the drone with the Earth's magnetic field. Many animals, such as birds and turtles, use a similar method for navigating during migration. ","cube.obj"
Sonar sensor (echolocation),3D mapping without vision or GPS,Bats,20,1,100,sonar_toolbar,A bat uses echolocation to sense prey and obstacles whilst flying. The bat releases a series of clicks which reflect off an object and return to the bat's ears. The distance and speed of an object can be determined by the change in sound frequency known as the Doppler effect. ,"cube.obj"
